aoi_id,epoch,route_id,verdict,comment
EVT001_0006,T2,1,PASS,"path stays on major roads, looks good"
EVT001_0006,T2,2,PASS,no damage visible along route corridor
EVT001_0006,T2,3,PASS,shelter within walkable distance
EVT001_0006,T3,1,PASS,route ok
EVT001_0006,T3,2,PASS,clear passage confirmed
EVT001_0006,T3,3,PASS,"acceptable route, shelter is reachable"
EVT001_0006,T4,1,PASS,road quality looks fine in this epoch
EVT001_0006,T4,2,PASS,route confirmed passable
EVT001_0006,T4,3,PASS,short route with no obvious hazards
EVT001_0025,T2,1,PASS,road network intact along this path
EVT001_0025,T2,2,PASS,"direct route, clear of flood extent"
EVT001_0025,T2,3,PASS,route avoids damaged zone
EVT001_0025,T3,1,PASS,"good evacuation path, shelter accessible"
EVT001_0025,T3,2,PASS,checked against imagery - road passable
EVT001_0025,T3,3,PASS,"route length acceptable, no blocked segments"
EVT001_0025,T4,1,PASS,"path stays on major roads, looks good"
EVT001_0025,T4,2,PASS,no damage visible along route corridor
EVT001_0025,T4,3,PASS,shelter within walkable distance
EVT001_0027,T2,1,PASS,shelter within walkable distance
EVT001_0027,T2,2,PASS,route ok
EVT001_0027,T2,3,PASS,clear passage confirmed
EVT001_0027,T3,1,PASS,"acceptable route, shelter is reachable"
EVT001_0027,T3,2,PASS,road quality looks fine in this epoch
EVT001_0027,T3,3,PASS,route confirmed passable
EVT001_0027,T4,1,PASS,short route with no obvious hazards
EVT001_0027,T4,2,PASS,path avoids inundated area
EVT001_0027,T4,3,PASS,route follows intact road corridor
EVT001_0030,T2,1,PASS,"path clear, no visible obstruction"
EVT001_0030,T2,2,PASS,shelter reachable via undamaged roads
EVT001_0030,T2,3,PASS,reasonable detour around affected area
EVT001_0030,T3,1,PASS,road network intact along this path
EVT001_0030,T3,2,PASS,"direct route, clear of flood extent"
EVT001_0030,T3,3,PASS,route avoids damaged zone
EVT001_0030,T4,1,PASS,"good evacuation path, shelter accessible"
EVT001_0030,T4,2,PASS,checked against imagery - road passable
EVT001_0030,T4,3,PASS,"route length acceptable, no blocked segments"
EVT001_0032,T2,1,PASS,shelter reachable via undamaged roads
EVT001_0032,T2,2,PASS,reasonable detour around affected area
EVT001_0032,T2,3,PASS,road network intact along this path
EVT001_0032,T3,1,PASS,"direct route, clear of flood extent"
EVT001_0032,T3,2,PASS,route avoids damaged zone
EVT001_0032,T3,3,PASS,"good evacuation path, shelter accessible"
EVT001_0032,T4,1,PASS,checked against imagery - road passable
EVT001_0032,T4,2,PASS,"route length acceptable, no blocked segments"
EVT001_0032,T4,3,PASS,"path stays on major roads, looks good"
EVT001_0044,T2,1,PASS,route confirmed passable
EVT001_0044,T2,2,PASS,short route with no obvious hazards
EVT001_0044,T2,3,PASS,path avoids inundated area
EVT001_0044,T3,1,PASS,route follows intact road corridor
EVT001_0044,T3,2,PASS,"path clear, no visible obstruction"
EVT001_0044,T3,3,PASS,shelter reachable via undamaged roads
EVT001_0044,T4,1,PASS,reasonable detour around affected area
EVT001_0044,T4,2,PASS,road network intact along this path
EVT001_0044,T4,3,PASS,"direct route, clear of flood extent"
EVT001_0046,T2,1,PASS,reasonable detour around affected area
EVT001_0046,T3,1,PASS,road network intact along this path
EVT001_0046,T4,1,PASS,"direct route, clear of flood extent"
EVT002_0071,T2,1,FAIL,low-lying road segment likely underwater
EVT002_0071,T2,2,FAIL,flood extent overlaps route mid-section
EVT002_0071,T2,3,FAIL,path leads into standing water zone
EVT002_0071,T3,1,FAIL,route passes through visibly inundated section
EVT002_0071,T3,2,FAIL,"road flooded in T3 imagery, path not usable"
EVT002_0071,T3,3,FAIL,low-lying road segment likely underwater
EVT002_0073,T2,1,PASS,short route with no obvious hazards
EVT002_0073,T2,2,PASS,path avoids inundated area
